CH1[V],CH2[A],Power
3.83E+00,1.35E+00,5.18E+00
3.84E+00,1.38E+00,5.31E+00
3.84E+00,1.38E+00,5.30E+00
3.84E+00,1.38E+00,5.32E+00
3.84E+00,1.35E+00,5.20E+00
3.83E+00,1.35E+00,5.15E+00
3.84E+00,1.39E+00,5.33E+00
3.84E+00,1.39E+00,5.33E+00
3.83E+00,1.41E+00,5.40E+00
3.84E+00,1.40E+00,5.36E+00
3.81E+00,1.42E+00,5.40E+00
3.84E+00,1.39E+00,5.36E+00
3.83E+00,1.43E+00,5.46E+00
3.83E+00,1.42E+00,5.45E+00
3.83E+00,1.44E+00,5.50E+00
3.83E+00,1.44E+00,5.51E+00
3.84E+00,1.44E+00,5.52E+00
3.83E+00,1.47E+00,5.64E+00
3.83E+00,1.49E+00,5.70E+00
3.83E+00,1.46E+00,5.58E+00
3.83E+00,1.49E+00,5.72E+00
3.84E+00,1.52E+00,5.85E+00
3.83E+00,1.51E+00,5.78E+00
3.83E+00,1.52E+00,5.83E+00
3.83E+00,1.51E+00,5.78E+00
3.83E+00,1.56E+00,5.97E+00
3.84E+00,1.54E+00,5.90E+00
3.83E+00,1.56E+00,5.99E+00
3.83E+00,1.56E+00,5.97E+00
3.81E+00,1.58E+00,6.02E+00
3.83E+00,1.56E+00,5.97E+00
3.81E+00,1.60E+00,6.09E+00
3.83E+00,1.60E+00,6.11E+00
3.81E+00,1.58E+00,6.04E+00
3.81E+00,1.56E+00,5.96E+00
3.83E+00,1.61E+00,6.16E+00
3.83E+00,1.60E+00,6.13E+00
3.81E+00,1.60E+00,6.10E+00
3.81E+00,1.61E+00,6.13E+00
3.83E+00,1.62E+00,6.20E+00
3.81E+00,1.59E+00,6.06E+00
3.83E+00,1.66E+00,6.37E+00
3.80E+00,1.65E+00,6.26E+00
3.81E+00,1.63E+00,6.22E+00
3.81E+00,1.64E+00,6.24E+00
3.81E+00,1.67E+00,6.36E+00
3.81E+00,1.68E+00,6.39E+00
3.81E+00,1.68E+00,6.39E+00
3.81E+00,1.67E+00,6.37E+00
3.83E+00,1.68E+00,6.42E+00
3.80E+00,1.68E+00,6.39E+00
3.80E+00,1.74E+00,6.61E+00
3.81E+00,1.74E+00,6.64E+00
3.81E+00,1.74E+00,6.64E+00
3.81E+00,1.72E+00,6.56E+00
3.80E+00,1.73E+00,6.57E+00
3.81E+00,1.78E+00,6.79E+00
3.81E+00,1.75E+00,6.66E+00
3.80E+00,1.79E+00,6.80E+00
3.78E+00,1.80E+00,6.82E+00
3.81E+00,1.82E+00,6.95E+00
3.80E+00,1.80E+00,6.83E+00
3.78E+00,1.85E+00,6.99E+00
3.78E+00,1.85E+00,6.98E+00
3.80E+00,1.87E+00,7.09E+00
3.81E+00,1.87E+00,7.15E+00
3.80E+00,1.89E+00,7.16E+00
3.80E+00,1.90E+00,7.21E+00
3.80E+00,1.93E+00,7.32E+00
3.81E+00,1.93E+00,7.37E+00
3.77E+00,1.93E+00,7.28E+00
3.80E+00,1.95E+00,7.41E+00
3.78E+00,1.99E+00,7.52E+00
3.80E+00,1.98E+00,7.52E+00
3.80E+00,2.01E+00,7.63E+00
3.80E+00,2.00E+00,7.58E+00
3.81E+00,2.00E+00,7.64E+00
3.78E+00,2.05E+00,7.76E+00
3.78E+00,2.06E+00,7.79E+00
3.77E+00,2.08E+00,7.81E+00
3.78E+00,2.09E+00,7.91E+00
3.78E+00,2.10E+00,7.93E+00
3.78E+00,2.09E+00,7.88E+00
3.78E+00,2.11E+00,7.98E+00
3.78E+00,2.11E+00,7.98E+00
3.78E+00,2.11E+00,7.96E+00
3.78E+00,2.14E+00,8.11E+00
3.77E+00,2.15E+00,8.08E+00
3.78E+00,2.12E+00,8.00E+00
3.78E+00,2.16E+00,8.19E+00
3.78E+00,2.16E+00,8.17E+00
3.77E+00,2.15E+00,8.08E+00
3.78E+00,2.18E+00,8.23E+00
3.77E+00,2.18E+00,8.21E+00
3.80E+00,2.17E+00,8.26E+00
3.78E+00,2.19E+00,8.29E+00
3.77E+00,2.20E+00,8.28E+00
3.78E+00,2.20E+00,8.30E+00
3.78E+00,2.22E+00,8.39E+00
3.77E+00,2.23E+00,8.38E+00
3.77E+00,2.24E+00,8.42E+00
3.77E+00,2.24E+00,8.43E+00
3.78E+00,2.24E+00,8.47E+00
3.75E+00,2.24E+00,8.41E+00
3.77E+00,2.29E+00,8.63E+00
3.75E+00,2.28E+00,8.56E+00
3.77E+00,2.29E+00,8.62E+00
3.77E+00,2.33E+00,8.78E+00
3.75E+00,2.32E+00,8.71E+00
3.77E+00,2.36E+00,8.88E+00
3.75E+00,2.36E+00,8.85E+00
3.77E+00,2.36E+00,8.88E+00
3.73E+00,2.42E+00,9.03E+00
3.77E+00,2.40E+00,9.03E+00
3.77E+00,2.43E+00,9.17E+00
3.75E+00,2.49E+00,9.32E+00
3.75E+00,2.48E+00,9.30E+00
3.75E+00,2.47E+00,9.26E+00
3.75E+00,2.49E+00,9.32E+00
3.75E+00,2.48E+00,9.31E+00
3.73E+00,2.48E+00,9.25E+00
3.73E+00,2.49E+00,9.30E+00
3.77E+00,2.46E+00,9.28E+00
3.77E+00,2.49E+00,9.37E+00
3.75E+00,2.52E+00,9.44E+00
3.73E+00,2.53E+00,9.45E+00
3.75E+00,2.56E+00,9.58E+00
3.75E+00,2.55E+00,9.57E+00
3.75E+00,2.55E+00,9.56E+00
3.73E+00,2.56E+00,9.57E+00
3.73E+00,2.61E+00,9.75E+00
3.73E+00,2.61E+00,9.76E+00
3.73E+00,2.66E+00,9.94E+00
3.73E+00,2.66E+00,9.95E+00
3.75E+00,2.71E+00,1.02E+01
3.73E+00,2.71E+00,1.01E+01
3.73E+00,2.73E+00,1.02E+01
3.73E+00,2.73E+00,1.02E+01
3.73E+00,2.74E+00,1.02E+01
3.73E+00,2.81E+00,1.05E+01
3.73E+00,2.81E+00,1.05E+01
3.73E+00,2.83E+00,1.06E+01
3.72E+00,2.85E+00,1.06E+01
3.72E+00,2.92E+00,1.09E+01
3.73E+00,2.92E+00,1.09E+01
3.72E+00,2.92E+00,1.09E+01
3.72E+00,2.94E+00,1.09E+01
3.72E+00,2.95E+00,1.10E+01
3.73E+00,2.97E+00,1.11E+01
3.72E+00,2.97E+00,1.11E+01
3.72E+00,3.00E+00,1.12E+01
3.73E+00,3.01E+00,1.12E+01
3.70E+00,3.04E+00,1.12E+01
3.72E+00,3.12E+00,1.16E+01
3.70E+00,3.13E+00,1.16E+01
3.70E+00,3.16E+00,1.17E+01
3.69E+00,3.21E+00,1.18E+01
3.69E+00,3.23E+00,1.19E+01
3.67E+00,3.29E+00,1.21E+01
3.69E+00,3.32E+00,1.22E+01
3.69E+00,3.39E+00,1.25E+01
3.66E+00,3.42E+00,1.25E+01
3.67E+00,3.44E+00,1.26E+01
3.67E+00,3.46E+00,1.27E+01
3.66E+00,3.54E+00,1.29E+01
3.67E+00,3.57E+00,1.31E+01
3.67E+00,3.58E+00,1.32E+01
3.64E+00,3.69E+00,1.34E+01
3.67E+00,3.68E+00,1.35E+01
3.66E+00,3.72E+00,1.36E+01
3.66E+00,3.76E+00,1.38E+01
3.64E+00,3.76E+00,1.37E+01
3.64E+00,3.77E+00,1.37E+01
3.64E+00,3.85E+00,1.40E+01
3.63E+00,3.89E+00,1.41E+01
3.63E+00,3.90E+00,1.42E+01
3.63E+00,3.95E+00,1.43E+01
3.63E+00,4.02E+00,1.46E+01
3.61E+00,4.03E+00,1.45E+01
3.61E+00,4.13E+00,1.49E+01
3.61E+00,4.15E+00,1.50E+01
3.59E+00,4.21E+00,1.51E+01
3.59E+00,4.18E+00,1.50E+01
3.59E+00,4.33E+00,1.55E+01
3.58E+00,4.33E+00,1.55E+01
3.55E+00,4.39E+00,1.56E+01
3.53E+00,4.56E+00,1.61E+01
3.55E+00,4.55E+00,1.61E+01
3.52E+00,4.66E+00,1.64E+01
3.53E+00,4.68E+00,1.65E+01
3.52E+00,4.72E+00,1.66E+01
3.52E+00,4.80E+00,1.69E+01
3.47E+00,4.87E+00,1.69E+01
3.47E+00,4.97E+00,1.73E+01
3.45E+00,5.01E+00,1.73E+01
3.45E+00,5.08E+00,1.75E+01
3.45E+00,5.17E+00,1.78E+01
3.42E+00,5.22E+00,1.79E+01
3.41E+00,5.26E+00,1.79E+01
3.42E+00,5.30E+00,1.81E+01
3.41E+00,5.37E+00,1.83E+01
3.39E+00,5.43E+00,1.84E+01
3.38E+00,5.44E+00,1.84E+01
3.36E+00,5.54E+00,1.86E+01
3.28E+00,5.72E+00,1.88E+01
3.28E+00,5.77E+00,1.89E+01
3.28E+00,5.80E+00,1.90E+01
3.25E+00,5.91E+00,1.92E+01
3.20E+00,5.98E+00,1.91E+01
3.19E+00,6.03E+00,1.92E+01
3.17E+00,6.07E+00,1.92E+01
3.11E+00,6.19E+00,1.93E+01
3.13E+00,6.20E+00,1.94E+01
3.03E+00,6.26E+00,1.90E+01
3.02E+00,6.26E+00,1.89E+01
3.00E+00,6.26E+00,1.88E+01
2.94E+00,6.26E+00,1.84E+01
2.94E+00,6.26E+00,1.84E+01
2.92E+00,6.26E+00,1.83E+01
2.89E+00,6.26E+00,1.81E+01
2.83E+00,6.26E+00,1.77E+01
2.84E+00,6.26E+00,1.78E+01
2.78E+00,6.26E+00,1.74E+01
2.73E+00,6.26E+00,1.71E+01
2.66E+00,6.26E+00,1.66E+01
2.58E+00,6.26E+00,1.61E+01
2.52E+00,6.26E+00,1.57E+01
2.50E+00,6.26E+00,1.56E+01
2.38E+00,6.26E+00,1.49E+01
2.20E+00,6.26E+00,1.38E+01
2.16E+00,6.26E+00,1.35E+01
2.13E+00,6.26E+00,1.33E+01
2.05E+00,6.26E+00,1.28E+01
1.97E+00,6.26E+00,1.23E+01
1.91E+00,6.26E+00,1.19E+01
1.83E+00,6.26E+00,1.14E+01
1.84E+00,6.26E+00,1.15E+01
1.81E+00,6.26E+00,1.13E+01
1.73E+00,6.26E+00,1.09E+01
1.73E+00,6.26E+00,1.09E+01
1.75E+00,6.26E+00,1.09E+01
1.77E+00,6.26E+00,1.10E+01
1.75E+00,6.26E+00,1.09E+01
1.75E+00,6.26E+00,1.09E+01
1.66E+00,6.26E+00,1.04E+01
1.67E+00,6.26E+00,1.05E+01
1.59E+00,6.26E+00,9.97E+00
1.45E+00,6.26E+00,9.09E+00
1.44E+00,6.26E+00,8.99E+00
1.36E+00,6.26E+00,8.50E+00
1.30E+00,6.26E+00,8.11E+00
1.28E+00,6.26E+00,8.02E+00
1.19E+00,6.26E+00,7.43E+00
1.05E+00,6.26E+00,6.55E+00
1.05E+00,6.26E+00,6.55E+00
1.05E+00,6.26E+00,6.55E+00
1.00E+00,6.26E+00,6.26E+00
9.84E-01,6.26E+00,6.16E+00
9.22E-01,6.26E+00,5.77E+00
8.91E-01,6.26E+00,5.57E+00
8.28E-01,6.26E+00,5.18E+00
7.66E-01,6.26E+00,4.79E+00
7.50E-01,6.26E+00,4.69E+00
6.72E-01,6.26E+00,4.20E+00
5.78E-01,6.26E+00,3.62E+00
5.78E-01,6.26E+00,3.62E+00
5.16E-01,6.26E+00,3.23E+00
4.22E-01,6.26E+00,2.64E+00
4.38E-01,6.26E+00,2.74E+00
3.59E-01,6.26E+00,2.25E+00
2.81E-01,6.26E+00,1.76E+00
1.25E-01,6.26E+00,7.82E-01
1.25E-01,6.26E+00,7.82E-01
1.25E-01,6.26E+00,7.82E-01
1.25E-01,6.26E+00,7.82E-01
9.38E-02,6.26E+00,5.87E-01
6.25E-02,6.26E+00,3.91E-01
7.81E-02,6.26E+00,4.89E-01
7.81E-02,6.26E+00,4.89E-01
7.81E-02,6.26E+00,4.89E-01
6.25E-02,6.26E+00,3.91E-01
6.25E-02,6.26E+00,3.91E-01
4.69E-02,6.26E+00,2.93E-01
7.81E-02,6.26E+00,4.89E-01
6.25E-02,6.26E+00,3.91E-01
7.81E-02,6.26E+00,4.89E-01
